"Year","Site","Fish_abundance","Fish_richness","Fish_density","Fish_biomass","Family_richness"
"2016","Fish Bowl",1230,29,4.1,8495.41640373615,15
"2016","Frenchman Reef",759,35,2.53,10262.8258506734,19
"2016","Long Bay Reef",1633,32,5.44333333333333,4162.73049235432,18
"2016","Mikes Mazes",721,29,2.40333333333333,8475.1265917141,13
"2016","Moonscape",1343,37,4.47666666666667,9213.48583713205,18
"2016","Proselyte Reef",783,29,2.61,5144.38210500147,13
"2016","Shark Hotel",592,27,1.97333333333333,6840.85018240414,13
"2017_post","Fish Bowl",348,19,1.16,25337.0784649968,11
"2017_post","Frenchman Reef",267,36,0.89,9201.50818172388,14
"2017_post","Long Bay Reef",120,16,0.4,2013.19238905012,11
"2017_post","Mikes Mazes",450,34,1.5,14226.8949349147,16
"2017_post","Moonscape",320,36,1.06666666666667,39150.0330603118,16
"2017_post","Proselyte Reef",777,37,2.59,53113.9503121297,16
"2017_post","Shark Hotel",146,28,0.486666666666667,23220.2210990581,16
"2017_pre","Fish Bowl",382,30,1.27333333333333,9226.52124637367,17
"2017_pre","Frenchman Reef",374,30,1.24666666666667,4565.25781920425,11
"2017_pre","Long Bay Reef",505,38,1.68333333333333,7106.65519294487,17
"2017_pre","Mikes Mazes",473,29,1.57666666666667,7799.22988482247,16
"2017_pre","Moonscape",245,30,0.816666666666667,5783.46380024643,14
"2017_pre","Proselyte Reef",441,33,1.47,11155.7637230966,15
"2017_pre","Shark Hotel",519,27,1.73,12569.5931217855,14
"2018","Fish Bowl",354,29,1.18,80884.1651202642,15
"2018","Frenchman Reef",457,30,1.52333333333333,5832.69756565107,16
"2018","Long Bay Reef",805,33,2.68333333333333,10741.178166543,13
"2018","Mikes Mazes",233,36,0.776666666666667,8342.96286625429,17
"2018","Moonscape",787,33,2.62333333333333,12381.0664090157,15
"2018","Proselyte Reef",577,31,1.92333333333333,99644.9186275666,14
"2018","Shark Hotel",424,38,1.41333333333333,11215.8202707096,16
"2019","Fish Bowl",428,42,1.42666666666667,24803.7502243983,18
"2019","Frenchman Reef",712,34,2.37333333333333,26247.4539575461,16
"2019","Long Bay Reef",562,34,1.87333333333333,24717.4800324535,17
"2019","Mikes Mazes",633,47,2.11,55656.3736044903,21
"2019","Moonscape",632,32,2.10666666666667,27058.999099393,16
"2019","Proselyte Reef",551,36,1.83666666666667,17772.7574278476,14
"2019","Shark Hotel",407,38,1.35666666666667,34229.9459700302,17
"2020","Fish Bowl",266,32,0.886666666666667,7728.10449823779,17
"2020","Frenchman Reef",515,22,1.71666666666667,8280.1061049179,13
"2020","Mikes Mazes",279,21,0.93,3299.69647937102,12
"2020","Moonscape",817,33,2.72333333333333,27385.3969156251,18
"2020","Proselyte Reef",691,42,2.30333333333333,35177.4063342595,19
"2020","Shark Hotel",335,36,1.11666666666667,16236.0068655186,18
"2023","Fish Bowl",338,24,1.12666666666667,24129.2625004838,14
"2023","Frenchman Reef",857,44,2.85666666666667,8804.85409597168,18
"2023","Long Bay Reef",295,25,0.983333333333333,2988.18342353372,13
"2023","Mikes Mazes",271,29,0.903333333333333,9281.32012783254,16
"2023","Moonscape",365,33,1.21666666666667,22151.0186679596,16
"2023","Proselyte Reef",303,30,1.01,4888.19322415612,13
"2023","Shark Hotel",339,31,1.13,4742.20801047854,12
