"","2016","2017_pre","2017_post","2018","2019","2020","2023"
"Mean_LongspineSeaUrchin_Abundance","0 ± 0","0.571 ± 1.512","0 ± 0","0 ± 0","2.429 ± 6.425","0 ± 0","0.286 ± 0.756"
"Mean_LongspineSeaUrchin_Density","0 ± 0","0.01 ± 0.025","0 ± 0","0 ± 0","0.04 ± 0.107","0 ± 0","0.005 ± 0.013"
"Mean_OtherSeaUrchin_Abundance","0.143 ± 0.378","0 ± 0","0.143 ± 0.378","0 ± 0","1 ± 2.646","0.833 ± 2.041","0.571 ± 1.512"
"Mean_OtherSeaUrchin_Density","0.002 ± 0.006","0 ± 0","0.002 ± 0.006","0 ± 0","0.017 ± 0.044","0.014 ± 0.034","0.01 ± 0.025"
"Mean_SeaCucumbers_Abundance","0.143 ± 0.378","0 ± 0","0 ± 0","0 ± 0","0 ± 0","0 ± 0","0 ± 0"
"Mean_SeaCucumbers_Density","0.002 ± 0.006","0 ± 0","0 ± 0","0 ± 0","0 ± 0","0 ± 0","0 ± 0"
"Mean_Lobster_Abundance","0 ± 0","0.714 ± 1.496","0 ± 0","0.143 ± 0.378","0.429 ± 0.787","0 ± 0","0 ± 0"
"Mean_Lobster_Density","0 ± 0","0.012 ± 0.025","0 ± 0","0.002 ± 0.006","0.007 ± 0.013","0 ± 0","0 ± 0"
"Mean_Conch_Abundance","0.286 ± 0.756","0 ± 0","0 ± 0","0.143 ± 0.378","0.857 ± 1.464","0 ± 0","0.286 ± 0.488"
"Mean_Conch_Density","0.005 ± 0.013","0 ± 0","0 ± 0","0.002 ± 0.006","0.014 ± 0.024","0 ± 0","0.005 ± 0.008"
